timestamp_iso,unix_ts,soil_pct_before,rain_pct,duration_s,ml_dispensed,reason
2026-04-25T13:57:38.263047+00:00,1777125458.2630475,15.0,64.67,6.3,315.0,Soil at 15.0% (below 25.0%). Deficit to target (60.0%): 45.0%. Valve open 6.3s -> ~315.0ml.
2026-04-25T13:59:28.951765+00:00,1777125568.9517646,15.29,64.93,6.26,313.0,Soil at 15.3% (below 25.0%). Deficit to target (60.0%): 44.7%. Valve open 6.3s -> ~313.0ml.
2026-04-25T14:01:53.196592+00:00,1777125713.1965919,14.96,64.87,6.31,315.3,Soil at 15.0% (below 25.0%). Deficit to target (60.0%): 45.0%. Valve open 6.3s -> ~315.3ml.
2026-04-25T15:01:43.688248+00:00,1777129303.688248,21.18,58.99,5.43,271.7,0,False,Soil at 21.2% (below 30.0%). Deficit to target (60.0%): 38.8%. Valve open 5.4s -> ~271.7ml. Weather clear (0% rain prob).
2026-04-25T15:03:43.864840+00:00,1777129423.8648398,28.31,58.89,4.44,221.8,0,False,Soil at 28.3% (below 30.0%). Deficit to target (60.0%): 31.7%. Valve open 4.4s -> ~221.8ml. Weather clear (0% rain prob).
2026-04-25T15:05:11.104351+00:00,1777129511.1043506,28.24,58.86,4.45,222.3,0,False,Soil at 28.2% (below 30.0%). Deficit to target (60.0%): 31.8%. Pump for 4.4s -> ~222.3ml. Weather clear (0% rain prob).
2026-04-25T15:06:17.109579+00:00,1777129577.109579,28.24,58.99,4.45,222.3,0,False,Soil at 28.2% (below 30.0%). Deficit to target (60.0%): 31.8%. Pump for 4.4s -> ~222.3ml. Weather clear (0% rain prob).
2026-04-25T15:08:17.474519+00:00,1777129697.4745188,28.53,59.12,4.41,220.3,0,False,Soil at 28.5% (below 30.0%). Deficit to target (60.0%): 31.5%. Pump for 4.4s -> ~220.3ml. Weather clear (0% rain prob).
2026-04-25T15:10:41.245535+00:00,1777129841.2455347,16.47,0.0,6.09,304.7,0,False,Soil at 16.5% (below 30.0%). Deficit to target (60.0%): 43.5%. Pump for 6.1s -> ~304.7ml. Weather clear (0% rain prob).
2026-04-25T15:13:04.223047+00:00,1777129984.2230475,26.55,0.0,4.68,234.2,0,False,Soil at 26.6% (below 30.0%). Deficit to target (60.0%): 33.5%. Pump for 4.7s -> ~234.2ml. Weather clear (0% rain prob).
2026-04-25T15:18:04.021886+00:00,1777130284.0218859,16.32,0.0,6.12,305.8,0,False,Soil at 16.3% (below 30.0%). Deficit to target (60.0%): 43.7%. Pump for 6.1s -> ~305.8ml. Weather clear (0% rain prob).
2026-04-25T16:53:47.941694+00:00,1777136027.9416945,16.47,16.4,6.09,304.7,0.0,False,Soil at 16.5% (below 25.0%). Deficit to target (60.0%): 43.5%. Pump for 6.1s -> ~304.7ml. Weather clear (0% rain prob).
2026-04-25T16:55:48.356483+00:00,1777136148.356483,16.43,17.45,6.1,305.0,0.0,False,Soil at 16.4% (below 25.0%). Deficit to target (60.0%): 43.6%. Pump for 6.1s -> ~305.0ml. Weather clear (0% rain prob).
