timestamp_iso,angle,dist_cm,clear,pump_was_running
2026-04-25T16:53:48.554064+00:00,0,999.0,True,False
2026-04-25T16:53:48.677760+00:00,10,999.0,True,False
2026-04-25T16:53:48.961722+00:00,20,999.0,True,False
2026-04-25T16:53:49.160456+00:00,30,999.0,True,False
2026-04-25T16:53:49.228265+00:00,40,999.0,True,False
2026-04-25T16:53:49.432662+00:00,50,999.0,True,False
2026-04-25T16:53:49.590326+00:00,60,999.0,True,False
2026-04-25T16:53:49.974636+00:00,70,999.0,True,False
2026-04-25T16:53:50.675773+00:00,80,999.0,True,False
2026-04-25T16:53:51.126251+00:00,90,999.0,True,False
2026-04-25T16:53:51.126805+00:00,100,999.0,True,False
2026-04-25T16:53:51.127254+00:00,110,999.0,True,False
2026-04-25T16:53:51.127505+00:00,120,999.0,True,False
2026-04-25T16:53:51.691546+00:00,130,999.0,True,False
2026-04-25T16:53:51.692099+00:00,140,999.0,True,False
2026-04-25T16:53:51.692352+00:00,150,999.0,True,False
2026-04-25T16:53:51.692934+00:00,160,999.0,True,False
2026-04-25T16:53:51.693163+00:00,170,999.0,True,False
2026-04-25T16:53:52.249943+00:00,180,999.0,True,False
2026-04-25T16:53:52.250693+00:00,10,999.0,True,True
2026-04-25T16:53:52.549369+00:00,20,999.0,True,True
2026-04-25T16:53:52.549933+00:00,30,999.0,True,True
2026-04-25T16:53:52.550196+00:00,40,999.0,True,True
2026-04-25T16:53:53.048442+00:00,50,999.0,True,True
2026-04-25T16:53:53.049192+00:00,60,999.0,True,True
2026-04-25T16:53:53.379021+00:00,70,999.0,True,True
2026-04-25T16:53:53.379575+00:00,80,999.0,True,True
2026-04-25T16:53:53.379844+00:00,90,999.0,True,True
2026-04-25T16:53:53.973902+00:00,100,999.0,True,True
2026-04-25T16:53:53.974456+00:00,110,999.0,True,True
2026-04-25T16:53:54.181211+00:00,120,999.0,True,True
2026-04-25T16:53:54.181793+00:00,130,999.0,True,True
2026-04-25T16:53:54.182070+00:00,140,999.0,True,True
2026-04-25T16:53:54.375719+00:00,150,999.0,True,True
2026-04-25T16:53:54.443125+00:00,160,999.0,True,True
2026-04-25T16:53:54.788966+00:00,170,999.0,True,True
2026-04-25T16:53:54.908354+00:00,180,999.0,True,True
2026-04-25T16:53:55.014160+00:00,170,999.0,True,True
2026-04-25T16:53:55.503067+00:00,160,999.0,True,True
2026-04-25T16:53:55.617910+00:00,150,999.0,True,True
2026-04-25T16:53:55.618605+00:00,140,999.0,True,True
2026-04-25T16:53:55.785650+00:00,130,999.0,True,True
2026-04-25T16:53:55.922714+00:00,120,999.0,True,True
2026-04-25T16:53:56.035622+00:00,110,999.0,True,True
2026-04-25T16:53:56.319532+00:00,100,999.0,True,True
2026-04-25T16:53:56.544946+00:00,90,999.0,True,True
2026-04-25T16:53:56.787628+00:00,80,999.0,True,True
2026-04-25T16:53:56.942401+00:00,70,999.0,True,True
2026-04-25T16:53:57.148721+00:00,60,999.0,True,True
2026-04-25T16:53:57.251110+00:00,50,999.0,True,True
2026-04-25T16:53:57.348526+00:00,40,999.0,True,True
2026-04-25T16:53:57.469305+00:00,30,999.0,True,True
2026-04-25T16:53:57.785538+00:00,20,999.0,True,True
2026-04-25T16:53:57.907531+00:00,10,999.0,True,True
2026-04-25T16:53:58.068876+00:00,0,999.0,True,True
2026-04-25T16:55:48.937032+00:00,0,999.0,True,False
2026-04-25T16:55:48.938159+00:00,10,999.0,True,False
2026-04-25T16:55:49.167785+00:00,20,999.0,True,False
2026-04-25T16:55:49.489449+00:00,30,999.0,True,False
2026-04-25T16:55:49.619983+00:00,40,999.0,True,False
2026-04-25T16:55:49.663067+00:00,50,999.0,True,False
2026-04-25T16:55:49.809347+00:00,60,999.0,True,False
2026-04-25T16:55:50.092071+00:00,70,999.0,True,False
2026-04-25T16:55:50.131214+00:00,80,999.0,True,False
2026-04-25T16:55:50.302616+00:00,90,999.0,True,False
2026-04-25T16:55:50.613987+00:00,100,999.0,True,False
2026-04-25T16:55:50.728725+00:00,110,999.0,True,False
2026-04-25T16:55:50.979356+00:00,120,999.0,True,False
2026-04-25T16:55:51.130495+00:00,130,999.0,True,False
2026-04-25T16:55:51.192833+00:00,140,999.0,True,False
2026-04-25T16:55:51.561852+00:00,150,999.0,True,False
2026-04-25T16:55:51.626875+00:00,160,999.0,True,False
2026-04-25T16:55:52.076904+00:00,170,999.0,True,False
2026-04-25T16:55:52.137106+00:00,180,999.0,True,False
2026-04-25T16:55:52.138205+00:00,10,999.0,True,True
